,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
33,"Elko, Elko Regional Airport",KEKO,-115.78635,40.82404,5052.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 23:20:00.000000,NV,Elko,LKN, 
34,"Ely, Ely Airport",KELY,-114.84528,39.295,6257.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 23:20:00.000000,NV,White Pine,LKN, 
15,"Emigrant Gap, Blue Canyon Nyack Airport",KBLU,-120.70806,39.27611,5282.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Placer,STO, 
36,"Eugene, Mahlon Sweet Field",KEUG,-123.21444,44.13333,364.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:33:00.000000,OR,Lane,PQR, 
95,Eureka Airport Asos,KP68,-116.00556,39.60139,5945.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 22:53:00.000000,NV,Eureka,LKN, 
284,Eureka Airport Awos,K05U,-116.00625,39.60209,5942.0,10.0,1,America/Los_Angeles,2012-02-21 00:00:00.000000,2020-09-08 23:35:00.000000,NV,Eureka,LKN, 
198,Eureka Nexrad,KBHX,-124.3,40.5,2516.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450850,2020-09-19 15:40:18.450851,CA,Humboldt,EKA, 
134,Fairfield / Travis Air Force Base,KSUU,-121.95,38.26667,62.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 22:58:00.000000,CA,Solano,STO, 
289,Fallbrook Community Airpark,KL18,-117.2509,33.3542,708.0,10.0,1,America/Los_Angeles,2014-02-07 00:00:00.000000,2020-09-08 23:35:00.000000,CA,San Diego,SGX, 
68,"Fallon, Naval Air Station",KNFL,-118.68556,39.43222,3934.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 22:56:00.000000,NV,Churchill,REV, 
170,Farallon Island,K50Q,-123.0,37.7,39.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450671,2020-09-19 15:40:18.450671,CA,San Francisco,MTR, 
257,Florence Municipal Airport,K6S2,-124.1114,43.9828,52.0,10.0,1,America/Los_Angeles,2013-01-11 00:00:00.000000,2020-09-08 21:55:00.000000,OR,Lane,PQR, 
228,Fort Bragg,KO64,-123.81667,39.4,62.0,10.0,1,America/Los_Angeles,2005-02-17 00:00:00.000000,2005-02-17 00:05:00.000000,CA,Mendocino,EKA, 
19,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",KBYS,-116.61667,35.28333,2349.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 22:58:00.000000,CA,San Bernardino,VEF, 
86,Fort Ord/Fritzsche,KOAR,-121.77,36.68,135.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.445564,2020-09-19 15:40:18.445565,CA,Monterey,MTR, 
282,Fortuna Rohnerville Airport,KFOT,-124.13338,40.55296,377.0,10.0,1,America/Los_Angeles,2011-12-28 00:00:00.000000,2020-09-08 23:35:00.000000,CA,Humboldt,EKA, 
204,Fresno Chandler Executive Airport,KFCH,-119.81465,36.73096,279.0,10.0,1,America/Los_Angeles,2015-07-17 16:55:00.000000,2020-05-14 10:35:00.000000,CA,Fresno,HNX, 
37,"Fresno, Fresno Air Terminal",KFAT,-119.71944,36.78,331.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Fresno,HNX, 
38,"Fullerton, Fullerton Municipal Airport",KFUL,-117.98472,33.87194,95.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Orange,SGX, 
148,General Wm J Fox Airfield,KWJF,-118.21251,34.74123,2333.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Los Angeles,LOX, 
121,Gillespie Field Airport,KSEE,-116.97369,32.82738,364.0,10.0,1,America/Los_Angeles,1999-11-14 00:00:00.000000,2020-09-08 22:47:00.000000,CA,San Diego,SGX, 
156,Gold Beach Municipal Airport,K4S1,-124.42492,42.41536,16.0,10.0,1,America/Los_Angeles,2004-10-19 00:00:00.000000,2020-09-08 23:35:00.000000,OR,Curry,MFR, 
205,Golden Gate Bridge,KGGB,-122.46667,37.81667,266.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450920,2020-09-19 15:40:18.450921,CA,San Francisco,MTR, 
2,Grant County Regional Airport,KGCD,-118.96715,44.40287,3675.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:35:00.000000,OR,Grant,PDT, 
248,Grants Pass Airport,K3S8,-123.38798,42.51011,1126.0,10.0,1,America/Los_Angeles,2007-10-11 00:00:00.000000,2020-09-08 23:35:00.000000,OR,Josephine,MFR, 
292,Gray Butte Field Airport,KGXA,-117.6704,34.5666,3028.0,10.0,1,America/Los_Angeles,2015-04-29 19:55:00.000000,2020-09-08 23:28:00.000000,CA,Los Angeles,LOX, 
251,Half Moon Bay Airport,KHAF,-122.4996,37.5136,65.0,10.0,1,America/Los_Angeles,2010-01-19 00:00:00.000000,2020-09-08 23:35:00.000000,CA,San Mateo,MTR, 
235,Hamilton U. S. Army Airfield,KSRF,-122.5,38.06667,3.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451205,2020-09-19 15:40:18.451206,CA,Marin,MTR, 
41,Hanford Municipal Airport,KHJO,-119.62315,36.31145,233.0,10.0,1,America/Los_Angeles,1999-12-24 00:00:00.000000,2020-09-08 23:27:00.000000,CA,Kings,HNX, 
227,"Hanford, Hanford Municipal Airport",KO18,-119.62944,36.3175,246.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451123,2020-09-19 15:40:18.451124,CA,Kings,HNX, 
207,Hawthorne Industrial Airport,KHTH,-118.63137,38.54482,4230.0,10.0,1,America/Los_Angeles,2015-06-12 01:48:00.000000,2020-09-08 23:35:00.000000,NV,Mineral,REV, 
40,"Hawthorne, Hawthorne Municipal Airport",KHHR,-118.33194,33.92361,62.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:39:00.000000,CA,Los Angeles,LOX, 
42,"Hayward, Hayward Air Terminal",KHWD,-122.11833,37.66083,46.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Alameda,MTR, 
305,Hemet-Ryan Airport,KHMT,-117.02231,33.73403,1515.0,10.0,1,America/Los_Angeles,2019-11-22 04:23:00.000000,2020-09-08 23:35:00.000000,CA,Riverside,SGX, 
168,Hermosa Beach Pier,K4L7,-118.4,33.86667,26.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450662,2020-09-19 15:40:18.450662,CA,Los Angeles,LOX, 
304,Hobby Field Airport,K77S,-123.00667,43.93075,541.0,10.0,1,America/Los_Angeles,2019-07-06 21:20:00.000000,2020-09-08 23:35:00.000000,OR,Lane,PQR, 
250,"Hollister, Ca",KCVH,-121.4103,36.8933,229.0,10.0,1,America/Los_Angeles,2009-09-23 00:00:00.000000,2020-09-08 23:35:00.000000,CA,San Benito,MTR, 
39,Hunter Ligget/Tusi,KHGT,-121.23,36.0,1017.0,10.0,1,America/Los_Angeles,2003-07-15 00:00:00.000000,2019-10-09 17:55:00.000000,CA,Monterey,MTR, 
161,Huntington B. Oil,K2H1,-118.13333,33.56667,118.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450595,2020-09-19 15:40:18.450595,CA,,LOX, 
176,Huntington Beach,K6L9,-118.0,33.65,115.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450700,2020-09-19 15:40:18.450700,CA,Orange,LOX, 
75,Imperial Beach Naval Outlying Field - Ream Field,KNRS,-117.11091,32.56302,20.0,10.0,1,America/Los_Angeles,1999-05-14 00:00:00.000000,2020-09-08 22:56:00.000000,CA,San Diego,SGX, 
43,"Imperial, Imperial County Airport",KIPL,-115.57861,32.83417,-56.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Imperial,PSR, 
44,Ind Sprng Range 63,KL63,-115.57,36.53,3189.0,10.0,1,America/Los_Angeles,1998-12-01 00:00:00.000000,1999-10-07 14:55:00.000000,NV,Clark,VEF, 
151,Inyokern,KIYK,-117.83333,35.66667,2457.0,10.0,1,America/Los_Angeles,1999-11-15 00:00:00.000000,2013-11-04 19:55:00.000000,CA,Kern,HNX, 
130,John Wayne-Orange County Airport,KSNA,-117.8674,33.6798,39.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Orange,SGX, 
49,Klamath Falls International Airport,KLMT,-121.72548,42.14703,4081.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,OR,Klamath,MFR, 
154,La Civic Center,KA06,-118.24,34.05,233.0,10.0,1,America/Los_Angeles,1998-01-22 00:00:00.000000,2000-06-13 23:30:00.000000,CA,Los Angeles,LOX, 
48,Lake County Airport,KLKV,-120.39721,42.15664,4721.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,OR,Lake,MFR, 
169,Lakeview,K4LW,-120.35,42.21667,4774.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450666,2020-09-19 15:40:18.450666,OR,Lake,MFR, 
206,Las Vegas - Henderson Executive Airport,KHND,-115.13221,35.97665,2427.0,10.0,1,America/Los_Angeles,2004-11-18 00:00:00.000000,2020-09-08 23:20:00.000000,NV,Clark,VEF, 
203,Las Vegas Nexrad,KESX,-114.89163,35.70123,4859.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450876,2020-09-19 15:40:18.450877,NV,Clark,VEF, 
45,"Las Vegas, Mccarran International Airport",KLAS,-115.1634,36.07188,2180.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 23:20:00.000000,NV,Clark,VEF, 
145,"Las Vegas, North Las Vegas Airport",KVGT,-115.19395,36.21205,2188.0,10.0,1,America/Los_Angeles,1998-06-24 00:00:00.000000,2020-09-08 23:20:00.000000,NV,Clark,VEF, 
241,"Las Vegas, Tonopah Range #74 Nellis Afb",KBJN,-116.26417,37.61722,5761.0,10.0,1,America/Los_Angeles,2005-08-08 00:00:00.000000,2014-05-02 15:56:00.000000,NV,Nye,VEF, 
73,Lemoore Naval Air Station - Reeves Field,KNLC,-119.93968,36.30244,223.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 22:56:00.000000,CA,Kings,HNX, 
256,Lincoln Regional Karl Harder Field,KLHM,-121.3513,38.9092,121.0,10.0,1,America/Los_Angeles,2010-03-04 00:00:00.000000,2020-09-08 23:35:00.000000,CA,Placer,STO, 
53,"Livermore, Livermore Municipal Airport",KLVK,-121.81444,37.69278,397.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Alameda,MTR, 
51,"Lompoc, Lompoc Airport",KLPC,-120.46667,34.66667,89.0,10.0,1,America/Los_Angeles,1999-11-14 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Santa Barbara,LOX, 
143,"Lompoc, Vandenberg Air Force Base",KVBG,-120.57667,34.72944,367.0,10.0,1,America/Los_Angeles,1998-10-01 00:00:00.000000,2020-09-08 22:58:00.000000,CA,Santa Barbara,LOX, 
175,Long Beach,K5L8,-118.16667,33.76667,10.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450696,2020-09-19 15:40:18.450696,CA,Los Angeles,LOX, 
47,"Long Beach, Long Beach Airport",KLGB,-118.14639,33.81167,56.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Los Angeles,LOX, 
126,Los Alamitos Army Airfield,KSLI,-118.04179,33.79628,26.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:28:00.000000,CA,Orange,SGX, 
